-39, 19, 19, -8.437889, -2.764053, -88.683899
-39, 19, 19, -8.668526, -2.886993, -88.688232
-39, 19, 19, -8.442650, -2.770172, -88.683350
-39, 19, 19, -8.443810, -2.773819, -88.678894
-39, 19, 19, -8.451546, -2.777542, -88.681702
-39, 19, 19, -8.308159, -2.627884, -88.817017
-39, 19, 19, -8.451721, -2.784012, -88.680847
-39, 19, 19, -8.459152, -2.785828, -88.678040
-39, 19, 19, -8.461327, -2.788452, -88.677368
-39, 19, 19, -8.457268, -2.783569, -88.686951
-39, 19, 19, -8.434204, -2.773270, -88.686523
-39, 19, 19, -8.460922, -2.789032, -88.685852
-38, 19, 19, -8.444817, -2.776245, -88.681763
-38, 19, 19, -8.448372, -2.781616, -88.686768
-38, 19, 19, -8.467468, -2.797318, -88.688110
-38, 19, 19, -8.466835, -2.792877, -88.684448
-37, 19, 19, -8.450653, -2.782227, -88.688599
-37, 19, 19, -8.450645, -2.787354, -88.684204
-37, 18, 18, -7.427238, -2.640549, -88.901367
-37, 18, 18, -7.870186, -2.791534, -88.796814
-36, 18, 18, -7.732689, -2.775436, -88.800415
-36, 18, 18, -7.805046, -2.784470, -88.796143
-36, 18, 18, -7.819077, -2.790634, -88.796936
-36, 18, 18, -7.789452, -2.787231, -88.799011
-36, 18, 18, -7.830414, -2.789078, -88.796082
-35, 18, 18, -7.806778, -2.748886, -88.779114
-35, 18, 18, -7.821152, -2.797653, -88.799072
-35, 17, 17, -6.821419, -2.562302, -88.881836
-35, 17, 17, -7.159203, -2.625702, -88.874390
-34, 17, 17, -7.019073, -2.613800, -88.872253
-34, 17, 17, -7.099213, -2.617767, -88.874268
-34, 17, 17, -7.098686, -2.618851, -88.877686
-34, 16, 17, -6.777206, -2.162308, -88.851318
-33, 16, 18, -7.384842, -2.003021, -88.921448
-33, 15, 18, -6.787834, -1.374283, -88.971863
-33, 14, 18, -6.666397, -1.105316, -89.041321
-33, 14, 19, -7.190529, -0.710953, -89.123352
-32, 13, 19, -6.740974, -0.288864, -89.065308
-32, 13, 19, -7.028038, -0.479477, -89.042480
-32, 12, 20, -7.307190, 0.471390, -89.059509
-31, 11, 20, -6.861183, 0.778503, -89.022583
-31, 11, 20, -7.102898, 0.639053, -89.041382
-31, 10, 21, -7.427620, 1.672562, -89.090698
-30, 10, 21, -7.359978, 1.427353, -89.069885
-30, 9, 21, -7.032066, 1.898529, -89.116150
-30, 9, 22, -7.786171, 2.242813, -89.099426
-30, 8, 22, -7.308350, 2.558929, -89.150085
-30, 8, 22, -7.496895, 2.429016, -89.130066
